sex,edad,ynac,year,qobs_2010_15,qx,ex
1,115,1885,2000,1.0000000,1.0000000,0.50
1,114,1886,2000,0.7923424,0.7988253,0.70
1,115,1886,2001,1.0000000,1.0000000,0.50
1,113,1887,2000,0.7481851,0.7558190,0.79
1,114,1887,2001,0.7923424,0.7981499,0.70
1,115,1887,2002,1.0000000,1.0000000,0.50
1,112,1888,2000,0.7050519,0.7137521,0.87
1,113,1888,2001,0.7481851,0.7550231,0.79
1,114,1888,2002,0.7923424,0.7975293,0.70
1,115,1888,2003,1.0000000,1.0000000,0.50
1,111,1889,2000,0.6630882,0.6727605,0.95
1,112,1889,2001,0.7050519,0.7128444,0.87
1,113,1889,2002,0.7481851,0.7542920,0.80
1,114,1889,2003,0.7923424,0.7970403,0.70
1,115,1889,2004,1.0000000,1.0000000,0.50
1,110,1890,2000,0.6224217,0.6329647,1.03
1,111,1890,2001,0.6630882,0.6717507,0.95
1,112,1890,2002,0.7050519,0.7120108,0.87
1,113,1890,2003,0.7481851,0.7537161,0.80
1,114,1890,2004,0.7923424,0.7966742,0.70
1,115,1890,2005,1.0000000,1.0000000,0.50
1,109,1891,2000,0.5831612,0.5944685,1.12
1,110,1891,2001,0.6224217,0.6318631,1.03
1,111,1891,2002,0.6630882,0.6708234,0.95
1,112,1891,2003,0.7050519,0.7113542,0.87
1,113,1891,2004,0.7481851,0.7532848,0.80
1,114,1891,2005,0.7923424,0.7963262,0.70
1,115,1891,2006,1.0000000,1.0000000,0.50
1,108,1892,2000,0.5453968,0.5573590,1.22
1,109,1892,2001,0.5831612,0.5932859,1.12
1,110,1892,2002,0.6224217,0.6308516,1.04
1,111,1892,2003,0.6630882,0.6700931,0.95
1,112,1892,2004,0.7050519,0.7108625,0.88
1,113,1892,2005,0.7481851,0.7528750,0.80
1,114,1892,2006,0.7923424,0.7959700,0.70
1,115,1892,2007,1.0000000,1.0000000,0.50
1,107,1893,2000,0.5091990,0.5217062,1.32
1,108,1893,2001,0.5453968,0.5561067,1.22
1,109,1893,2002,0.5831612,0.5922003,1.13
1,110,1893,2003,0.6224217,0.6300551,1.04
1,111,1893,2004,0.6630882,0.6695463,0.95
1,112,1893,2005,0.7050519,0.7103953,0.88
1,113,1893,2006,0.7481851,0.7524554,0.80
1,114,1893,2007,0.7923424,0.7956198,0.70
1,115,1893,2008,1.0000000,1.0000000,0.50
1,106,1894,2000,0.4746198,0.4875633,1.44
1,107,1894,2001,0.5091990,0.5203955,1.33
1,108,1894,2002,0.5453968,0.5549573,1.23
1,109,1894,2003,0.5831612,0.5913457,1.13
1,110,1894,2004,0.6224217,0.6294589,1.04
1,111,1894,2005,0.6630882,0.6690268,0.96
1,112,1894,2006,0.7050519,0.7099171,0.88
1,113,1894,2007,0.7481851,0.7520431,0.80
1,114,1894,2008,0.7923424,0.7952150,0.70
1,115,1894,2009,1.0000000,1.0000000,0.50
1,105,1895,2000,0.4416930,0.4549671,1.56
1,106,1895,2001,0.4746198,0.4862052,1.44
1,107,1895,2002,0.5091990,0.5191927,1.33
